rank,destination,teus_2026,equivalent_40ft_containers,lane_or_drayage_basis,maersk_usd,msc_usd,hapag_lloyd_usd,ssl_average_usd,allog_commercial_usd,allog_quote_basis,allog_2day_equivalent_usd,saving_per_container_usd,estimated_ytd_saving_usd,status,notes
1,Verdi NV,280,140,Oakland CA to Verdi NV,1965.00,,2038.00,2001.50,1500.00,2-day actual,1500.00,501.50,70210.00,Comparable,"Boss destination ranking uses TEUs; no 20ft containers, so 280 TEUs = 140 x 40ft. MSC no service."
2,Hatfield MA,194,97,New York NY to Hatfield MA,1675.00,1662.00,,1668.50,1610.00,All-in special,1365.00,303.50,29439.50,Comparable,"All volume uses New York basis. All-in special package includes 3 chassis days and 2 storage days; simplified 2-day equivalent uses USD 245 analytical adjustment (USD 150 standard package estimate + USD 45 extra chassis day + USD 50 extra storage day). Hapag no service."
3,Portland ME,130,65,Portland ME; SSL only via Worcester Ramp,,,,,2225.00,All-in special,1980.00,,,No comparable SSL benchmark yet,"Maersk and MSC do not offer the delivery. Hapag is the only SSL option and only via Worcester Ramp. Current Hapag standalone Worcester-to-Portland drayage has not been isolated into a defensible numerical comparison. Preserve destination volume but do not calculate savings yet."
4,San Antonio TX,80,40,Houston TX to San Antonio TX,1375.00,1373.00,2438.00,1728.67,1400.00,All-in,1250.00,478.67,19146.67,Comparable,"Standard All-in normalization uses USD 150 analytical package adjustment."
5,Eau Claire WI,72,36,Allog Chicago Ramp; SSL Minneapolis/Saint Paul,,,,,2055.00,All-in,1905.00,,,Non-comparable routing,"Allog uses Chicago Ramp while Maersk/Hapag use Minneapolis and MSC is expected via Saint Paul. Keep TEU volume visible but exclude from numerical savings comparison."
6,Lebanon TN,66,33,Nashville Ramp to Lebanon TN,670.00,745.00,683.00,699.33,600.00,2-day actual,600.00,99.33,3278.00,Comparable,"Destination volume comes from multiple ocean origins, but both flows use Nashville as final rail ramp, so the same Nashville Ramp-to-Lebanon local drayage basis applies to the full destination volume."
7,Shepherdsville KY,50,25,Louisville Ramp to Shepherdsville KY,670.00,511.00,563.00,581.33,700.00,All-in,550.00,31.33,783.33,Comparable,"MSC = (1531+420+110)-(1190+250+110)=511. Hapag = (1430+110+80+158)-(1055+66+94)=563. Standard All-in normalization uses USD 150 analytical package adjustment."
8,DeSoto TX,48,24,Houston TX to DeSoto TX,1630.00,1495.00,1629.00,1584.67,1425.00,All-in,1275.00,309.67,7432.00,Comparable,"Standard All-in normalization uses USD 150 analytical package adjustment."
9,Fort Mill SC,46,23,Savannah GA + Charleston SC to Fort Mill SC,1433.26,1276.61,,1354.93,1282.61,Weighted All-in,1132.61,222.33,5113.50,Comparable weighted destination,"23 containers total: 16 Savannah branch and 7 Charleston branch. Savannah rates: Maersk 1520, MSC 1304, Allog 1345 All-in. Charleston rates: Maersk 1235, MSC 1214, Allog 1140 All-in. Hapag excluded: no Savannah service and Charleston delivery only via Charlotte Ramp. Destination values are volume-weighted."
10,Brigham City UT,42,21,Salt Lake City Ramp to Brigham City UT,645.00,595.00,808.00,682.67,644.00,2-day actual,644.00,38.67,812.00,Comparable,"MSC = (3315+420+110)-(2890+250+110)=595. Hapag = (2920+110+80+158)-(2300+66+94)=808."
11,Denver CO,38,19,Denver Ramp to Denver CO,535.00,685.00,593.00,604.33,675.00,All-in,525.00,79.33,1507.33,Backup comparable,"Position 11 backup. Standard All-in normalization uses USD 150 analytical package adjustment."
12,Sandston VA,32,16,Norfolk VA to Sandston VA,845.00,788.00,933.00,855.33,785.00,2-day actual,785.00,70.33,1125.33,Backup comparable,"Position 12 backup after excluding Baltimore warehousing operation. Sacramento also has 32 TEUs and remains the next tied alternate if management prefers a different backup."
TOTAL,,1078,539,,,,,,,,,,138847.67,,"Total YTD savings sums only the 10 positions with a comparable numerical SSL benchmark; Portland and Eau Claire remain visible in volume ranking but are excluded from savings total."
